Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
3,10:28,3,10,LAC 25,23,10,Justin Herbert pass complete short left to DeAndre Carter for 6 yards (tackle by Devin Lloyd),-0.62,-1.31
3,9:56,4,4,LAC 31,23,10,"JK Scott punts 42 yards, returned by Jamal Agnew for 13 yards (tackle by Chris Rumph and Ja'Sir Taylor)",-1.31,-1.6
3,9:42,1,10,JAX 40,23,10,James Robinson left tackle for 2 yards (tackle by Jerry Tillery and Sebastian Joseph-Day),1.6,1.32
3,9:08,2,8,JAX 42,23,10,Trevor Lawrence pass complete short right to Travis Etienne for 9 yards (tackle by Asante Samuel and Nasir Adderley),1.32,2.32
3,8:30,1,10,LAC 49,23,10,"Penalty on Kyle Van Noy: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.32,3.05
3,8:26,1,5,LAC 44,23,10,Travis Etienne up the middle for -1 yards (tackle by Kenneth Murray),3.05,2.32
3,7:40,2,6,LAC 45,23,10,Travis Etienne up the middle for 6 yards (tackle by Khalil Mack),2.32,2.98
3,7:12,1,10,LAC 39,23,10,Travis Etienne up the middle for 5 yards (tackle by Otito Ogbonnia),2.98,3.12
3,6:33,2,5,LAC 34,23,10,Trevor Lawrence pass complete short left to Christian Kirk for 6 yards (tackle by Asante Samuel),3.12,3.71
3,5:58,1,10,LAC 28,23,10,Travis Etienne left guard for -2 yards (tackle by Sebastian Joseph-Day),3.71,2.9
3,5:17,2,12,LAC 30,23,10,Trevor Lawrence pass complete short middle to Zay Jones for 15 yards (tackle by Derwin James and Michael Davis),2.9,4.58
3,4:40,1,10,LAC 15,23,10,Travis Etienne left tackle for 9 yards (tackle by Drue Tranquill and Bryce Callahan),4.58,5.6
3,4:00,2,1,LAC 6,23,10,Evan Engram up the middle for no gain (tackle by Drue Tranquill),5.6,4.9
3,3:18,3,1,LAC 6,23,10,James Robinson right guard for no gain (tackle by Sebastian Joseph-Day),4.9,3.02
3,2:40,4,1,LAC 6,23,10,Trevor Lawrence up the middle for 2 yards (tackle by Derwin James and Drue Tranquill),3.02,6.28
3,1:56,1,4,LAC 4,23,10,James Robinson up the middle for no gain (tackle by Otito Ogbonnia and Chris Rumph),6.28,5.34
3,1:18,2,4,LAC 4,29,10,"Trevor Lawrence pass complete short right to Christian Kirk for 4 yards, touchdown",5.34,7
3,1:15,,,,,,Timeout #1 by Jacksonville Jaguars,,
3,1:15,,,LAC 2,31,10,Two Point Attempt: Trevor Lawrence pass complete to to Evan Engram for no gain,1,1
3,1:15,,,JAX 35,31,10,"Riley Patterson kicks off 65 yards, touchback.",0,0.61
3,1:15,1,10,LAC 25,31,10,Sony Michel left tackle for 6 yards (tackle by Devin Lloyd),0.61,0.87
3,0:58,2,4,LAC 31,31,10,"Justin Herbert pass incomplete deep left intended for Josh Palmer. Penalty on Storm Norton: Offensive Holding, 10 yards (accepted) (no play)",0.87,-0.48
3,0:52,2,14,LAC 21,31,10,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Rayshawn Jenkins),-0.48,-0.23
3,0:29,3,7,LAC 28,31,10,Justin Herbert pass complete short left to Josh Palmer for 45 yards (tackle by Tyson Campbell),-0.23,3.78
4,15:00,1,10,JAX 27,31,10,DeAndre Carter right end for -5 yards (tackle by Tyson Campbell),3.78,2.56
4,14:22,2,15,JAX 32,31,10,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Devin Lloyd),2.56,1.88
4,14:16,3,15,JAX 32,31,10,"Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on Storm Norton: Offensive Holding, 10 yards (declined)",1.88,1.24
4,14:10,4,15,JAX 32,31,10,Justin Herbert pass incomplete deep right intended for Mike Williams,1.24,-1.07
4,14:04,1,10,JAX 32,31,10,Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Drue Tranquill),1.07,1.34
4,13:32,2,4,JAX 38,31,10,James Robinson right guard for 1 yard (tackle by Khalil Mack),1.34,0.76
4,12:46,3,3,JAX 39,31,10,James Robinson right tackle for 3 yards (tackle by Austin Johnson),0.76,1.73
4,12:05,1,10,JAX 42,31,10,James Robinson right tackle for no gain (tackle by Khalil Mack and Austin Johnson),1.73,1.19
4,11:25,2,10,JAX 42,31,10,Trevor Lawrence pass complete short right to Christian Kirk for 4 yards (tackle by Michael Davis),1.19,1.03
4,10:43,3,6,JAX 46,31,10,Trevor Lawrence pass complete short middle to Marvin Jones for 8 yards (tackle by Michael Davis),1.03,2.52
4,10:06,1,10,LAC 46,31,10,Travis Etienne up the middle for -4 yards (tackle by Sebastian Joseph-Day),2.52,1.44
4,9:27,2,14,LAC 50,31,10,Trevor Lawrence pass complete short left to Zay Jones for 8 yards (tackle by Drue Tranquill),1.44,1.82
4,8:42,3,6,LAC 42,31,10,Trevor Lawrence pass complete short right to Travis Etienne for 16 yards (tackle by Bryce Callahan),1.82,3.84
4,7:54,1,10,LAC 26,31,10,Travis Etienne up the middle for 8 yards (tackle by Michael Davis),3.84,4.45
4,7:08,2,2,LAC 18,31,10,Travis Etienne left end for 9 yards (tackle by Otito Ogbonnia),4.45,5.14
4,6:24,1,9,LAC 9,31,10,Travis Etienne right guard for -1 yards (tackle by Otito Ogbonnia),5.14,4.19
4,5:40,2,10,LAC 10,31,10,Trevor Lawrence pass complete short left to Zay Jones for -1 yards (tackle by Bryce Callahan),4.19,3.12
4,4:59,3,11,LAC 11,37,10,"Trevor Lawrence pass complete short left to Marvin Jones for 11 yards, touchdown",3.12,7
4,4:54,,,LAC 15,38,10,Riley Patterson kicks extra point good,0,0
4,4:54,,,JAX 35,38,10,"Riley Patterson kicks off 67 yards, returned by DeAndre Carter for 27 yards (tackle by Tre Herndon and Tim Jones)",0,0.61
4,4:47,1,10,LAC 25,38,10,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by Tyson Campbell),0.61,0.6
4,4:41,2,6,LAC 29,38,10,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by Darious Williams),0.6,-0.1
4,4:37,3,6,LAC 29,38,10,Justin Herbert scrambles for 7 yards (tackle by Foyesade Oluokun),-0.1,1.33
4,4:30,1,10,LAC 36,38,10,Justin Herbert pass complete to Austin Ekeler for 10 yards (tackle by Andre Cisco and Darious Williams),1.33,1.99
4,3:47,1,10,LAC 46,38,10,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Foyesade Oluokun),1.99,2.26
4,3:10,2,4,JAX 48,38,10,Justin Herbert pass complete to Josh Palmer for 6 yards (tackle by Tre Herndon),2.26,2.79
4,2:35,1,10,JAX 42,38,10,Justin Herbert pass complete short middle to Jalen Guyton for 10 yards (tackle by Devin Lloyd),2.79,3.45
4,2:00,1,10,JAX 32,38,10,Justin Herbert pass incomplete deep left intended for Jalen Guyton (defended by Tre Herndon),3.45,2.9
4,1:54,2,10,JAX 32,38,10,Justin Herbert pass complete short right to Joshua Kelley for -2 yards (tackle by Arden Key and Andre Cisco),2.9,1.95
4,1:19,3,12,JAX 34,38,10,Justin Herbert pass complete short right to Josh Palmer for 13 yards (tackle by Tre Herndon),1.95,4.17
4,1:08,1,10,JAX 21,38,10,"Justin Herbert pass incomplete intended for Josh Palmer. Penalty on Foyesade Oluokun: Defensive Holding, 5 yards (accepted) (no play)",4.17,4.51
4,1:03,1,10,JAX 16,38,10,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Josh Allen),4.51,3.9
4,0:57,2,10,JAX 16,38,10,Justin Herbert pass complete short left to Joshua Kelley for 8 yards (tackle by Foyesade Oluokun),3.9,4.62
4,0:45,3,2,JAX 8,38,10,Joshua Kelley left tackle for -3 yards (tackle by Adam Gotsis),4.62,2.75
4,0:06,4,5,JAX 11,38,10,Justin Herbert pass incomplete short right intended for DeAndre Carter,2.75,0.37
4,0:03,1,10,JAX 11,38,10,C.J. Beathard kneels for -1 yards,-0.37,-0.85
