Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
4,5:23,1,10,LAC 40,17,24,Justin Herbert pass complete short right to DeAndre Carter for 10 yards (tackle by Budda Baker),1.6,2.26
4,4:50,1,10,LAC 50,17,24,Austin Ekeler up the middle for 9 yards (tackle by Jalen Thompson),2.26,2.93
4,4:09,2,1,ARI 41,17,24,Austin Ekeler right tackle for 3 yards (tackle by J.J. Watt),2.93,3.05
4,3:35,1,10,ARI 38,17,24,Justin Herbert pass incomplete short left intended for DeAndre Carter (defended by Marco Wilson),3.05,2.51
4,3:30,2,10,ARI 38,17,24,Justin Herbert pass complete short right to Austin Ekeler for 3 yards (tackle by Trysten Hill),2.51,2.21
4,3:03,3,7,ARI 35,17,24,Justin Herbert sacked by Isaiah Simmons for -13 yards,2.21,0.07
4,2:25,4,20,ARI 48,17,24,"JK Scott punts 38 yards, fair catch by Pharoh Cooper at ARI-10",0.07,0.38
4,2:19,1,10,ARI 10,17,24,James Conner up the middle for no gain (tackle by Derwin James and Morgan Fox),-0.38,-0.78
4,2:16,,,,,,Timeout #1 by Los Angeles Chargers,,
4,2:16,2,10,ARI 10,17,24,Kyler Murray sacked by Michael Davis for -6 yards,-0.78,-2.12
4,2:11,,,,,,Timeout #2 by Los Angeles Chargers,,
4,2:11,3,16,ARI 4,17,24,Kyler Murray pass complete short right to James Conner for 9 yards (tackle by Drue Tranquill and Kenneth Murray),-2.12,-2.49
4,2:00,4,7,ARI 13,17,24,"Andy Lee punts 50 yards, returned by DeAndre Carter for 20 yards (tackle by Christian Matthew). Penalty on Christian Matthew: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.49,-3.05
4,1:48,1,10,ARI 38,17,24,Justin Herbert pass complete short left to Gerald Everett for 10 yards (tackle by Dennis Gardeck),3.05,3.71
4,1:29,1,10,ARI 28,17,24,Justin Herbert pass complete short left to Austin Ekeler for 8 yards (tackle by Jalen Thompson),3.71,4.25
4,1:08,2,2,ARI 20,17,24,"Justin Herbert pass complete short left to Austin Ekeler for no gain. Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",4.25,2.9
4,0:58,2,12,ARI 30,17,24,Justin Herbert pass complete short right to Keenan Allen for 16 yards (tackle by Antonio Hamilton),2.9,4.65
4,0:46,,,,,,Timeout #1 by Arizona Cardinals,,
4,0:46,1,10,ARI 14,17,24,Justin Herbert pass complete short left to Gerald Everett for 3 yards (tackle by Zaven Collins),4.65,4.52
4,0:29,2,7,ARI 11,17,24,Justin Herbert pass incomplete short middle intended for Austin Ekeler,4.52,3.62
4,0:25,3,7,ARI 11,17,24,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Marco Wilson),3.62,6.97
4,0:18,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:18,1,1,ARI 1,23,24,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",6.97,7
4,0:15,,,ARI 2,25,24,Two Point Attempt: Justin Herbert pass complete to to Gerald Everett for no gain,1,1
4,0:15,,,LAC 35,25,24,"Cameron Dicker kicks off 52 yards, returned by Pharoh Cooper for 19 yards (tackle by Amen Ogbongbemiga and Ja'Sir Taylor)",0,1.07
4,0:11,1,10,ARI 32,25,24,Kyler Murray pass incomplete deep middle intended for Robbie Anderson,1.07,0.53
4,0:06,2,10,ARI 32,25,24,Kyler Murray pass incomplete deep middle intended for A.J. Green (defended by Michael Davis),0.53,-0.16
