Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
3,8:59,2,8,LAC 43,17,24,Russell Wilson pass (defended by Kyle Van Noy) intended for Andrew Beck is intercepted by Sebastian Joseph-Day at 50 and returned for 4 yards (tackle by Quinn Meinerz),2.31,-2.52
3,8:50,1,10,DEN 46,17,24,Justin Herbert pass complete deep left to Donald Parham for 23 yards (tackle by Ja'Quan McMillian),2.52,4.04
3,8:11,1,10,DEN 23,17,24,Austin Ekeler left tackle for 5 yards (tackle by Ja'Quan McMillian),4.04,4.21
3,7:33,2,5,DEN 18,17,24,Austin Ekeler left tackle for no gain (tackle by Eyioma Uwazurike and Matt Henningsen),4.21,3.49
3,6:55,3,5,DEN 18,17,24,Justin Herbert pass incomplete short right intended for DeAndre Carter,3.49,2.3
3,6:46,4,5,DEN 18,20,24,Cameron Dicker 36 yard field goal good,2.3,3
3,6:42,,,LAC 35,20,24,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
3,6:42,1,10,DEN 25,20,24,Russell Wilson pass complete short middle to Jerry Jeudy for 25 yards (tackle by Drue Tranquill and Derwin James),0.61,2.26
3,6:02,1,10,DEN 50,20,24,"Russell Wilson pass complete to Freddie Swain for 7 yards LAC challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass incomplete short right intended for Freddie Swain",2.26,1.71
3,5:58,2,10,DEN 50,20,24,Russell Wilson pass complete short right to Freddie Swain for 2 yards (tackle by Ja'Sir Taylor),1.71,1.29
3,5:14,3,8,LAC 48,20,24,Russell Wilson sacked by Kyle Van Noy for -7 yards,1.29,-0.39
3,4:35,4,15,DEN 45,20,24,"Corliss Waitman punts 43 yards, fair catch by DeAndre Carter at LAC-12",-0.39,0.35
3,4:27,1,10,LAC 12,20,24,Austin Ekeler left tackle for 2 yards (tackle by Josey Jewell),-0.35,-0.61
3,4:06,2,8,LAC 14,20,24,Justin Herbert pass complete short middle to Keenan Allen for 14 yards (tackle by Justin Simmons),-0.61,0.81
3,3:24,1,10,LAC 28,20,24,Justin Herbert pass complete short left to Josh Palmer for 2 yards (tackle by Ja'Quan McMillian and Kareem Jackson),0.81,0.53
3,2:49,2,8,LAC 30,20,24,Justin Herbert pass incomplete intended for Josh Palmer,0.53,-0.16
3,2:43,3,8,LAC 30,20,24,Justin Herbert pass complete short right to Austin Ekeler for 9 yards (tackle by Alex Singleton),-0.16,1.53
3,2:03,1,10,LAC 39,20,24,Austin Ekeler right end for 2 yards (tackle by Alex Singleton and Jonathon Cooper),1.53,1.26
3,1:17,2,8,LAC 41,20,24,Justin Herbert pass complete short left to Austin Ekeler for 19 yards (tackle by Eyioma Uwazurike),1.26,2.92
3,0:38,1,10,DEN 40,20,24,Justin Herbert pass incomplete short left intended for Joshua Kelley,2.92,2.37
3,0:32,2,10,DEN 40,20,24,"Justin Herbert pass complete short right to DeAndre Carter for 25 yards. DeAndre Carter fumbles (forced by Justin Simmons), recovered by Kareem Jackson at DEN-9 and returned for 2 yards (tackle by Austin Ekeler)",2.37,0.37
3,0:21,1,10,DEN 11,20,24,"Chase Edmonds left guard for 1 yard (tackle by Drue Tranquill and Christopher Hinton). Penalty on Graham Glasgow: Offensive Holding, 6 yards (accepted) (no play)",-0.37,-0.57
4,15:00,1,15,DEN 6,20,24,Russell Wilson scrambles right end for 2 yards (tackle by Kyle Van Noy),-0.57,-1
4,14:19,2,13,DEN 8,20,24,Latavius Murray for 16 yards (tackle by Alohi Gilman),-1,0.54
4,13:32,1,10,DEN 24,20,24,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.54,0
4,13:24,2,10,DEN 24,20,24,Tyler Badie up the middle for no gain (tackle by David Moa),0,-0.69
4,12:50,3,10,DEN 24,20,24,Russell Wilson pass complete deep right to Freddie Swain for 52 yards (tackle by Nasir Adderley),-0.69,3.97
4,12:03,1,10,LAC 24,20,24,Chase Edmonds right end for 4 yards (tackle by Breiden Fehoko),3.97,3.97
4,11:21,2,6,LAC 20,20,30,"Russell Wilson pass complete deep right to Courtland Sutton for 20 yards, touchdown",3.97,7
4,11:15,,,LAC 15,20,31,Brandon McManus kicks extra point good,0,0
4,11:15,,,DEN 35,20,31,"Brandon McManus kicks off 65 yards, touchback.",0,0.61
4,11:15,1,10,LAC 25,20,31,Larry Rountree right end for 2 yards (tackle by Ja'Quan McMillian),0.61,0.33
4,10:39,2,8,LAC 27,20,31,Larry Rountree right tackle for 1 yard (tackle by Jonathon Cooper),0.33,-0.23
4,9:55,3,7,LAC 28,20,31,Chase Daniel scrambles right end for 4 yards (tackle by Alex Singleton),-0.23,-1.24
4,9:12,4,3,LAC 32,20,31,"JK Scott punts 45 yards, recovered by Alohi Gilman at DEN-29",-1.24,3.64
4,9:05,1,10,DEN 29,20,31,Larry Rountree up the middle for 1 yard (tackle by Baron Browning and Matt Henningsen),3.64,3.24
4,8:27,2,9,DEN 28,20,31,Chase Daniel pass complete short right to Josh Palmer for 10 yards (tackle by Ja'Quan McMillian),3.24,4.37
4,7:55,1,10,DEN 18,20,31,Chase Daniel pass complete short left to Keenan Allen for 4 yards (tackle by Kareem Jackson),4.37,4.43
4,7:16,2,6,DEN 14,20,31,Chase Daniel pass complete short right to DeAndre Carter for 7 yards (tackle by Justin Simmons),4.43,5.6
4,6:39,1,7,DEN 7,20,31,Joshua Kelley left end for 4 yards (tackle by Patrick Surtain),5.6,5.53
4,6:06,2,3,DEN 3,26,31,"Chase Daniel pass complete short right to Keenan Allen for 3 yards, touchdown",5.53,7
4,6:02,,,DEN 2,28,31,Two Point Attempt: Chase Daniel pass complete to to Josh Palmer for no gain,1,1
4,6:02,,,LAC 35,28,31,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
