Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
4,4:45,2,17,LAC 18,30,28,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by Josh Allen and Darious Williams),-0.98,-1.02
4,4:04,3,13,LAC 22,30,28,Justin Herbert pass complete short right to Joshua Kelley for 8 yards (tackle by Foyesade Oluokun),-1.02,-1.37
4,3:20,4,5,LAC 30,30,28,JK Scott punts 49 yards downed by Josh Harris,-1.37,-0.34
4,3:09,1,10,JAX 21,30,28,Trevor Lawrence pass incomplete short right intended for Marvin Jones (defended by Kyle Van Noy),0.34,-0.2
4,3:06,2,10,JAX 21,30,28,Trevor Lawrence pass complete short left to Christian Kirk for 12 yards (tackle by Kenneth Murray),-0.2,1.14
4,2:34,1,10,JAX 33,30,28,Trevor Lawrence scrambles left end for 8 yards (tackle by Ja'Sir Taylor),1.14,1.67
4,2:25,2,2,JAX 41,30,28,Trevor Lawrence pass complete short right to Christian Kirk for 9 yards (tackle by Bryce Callahan),1.67,2.26
4,2:01,1,10,JAX 50,30,28,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Ja'Sir Taylor),2.26,2.39
4,1:56,2,5,LAC 45,30,28,Travis Etienne left end for 4 yards (tackle by Drue Tranquill and Kenneth Murray),2.39,2.21
4,1:30,3,1,LAC 41,30,28,Trevor Lawrence pass incomplete short left intended for Christian Kirk,2.21,0.53
4,1:28,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,1:28,4,1,LAC 41,30,28,Travis Etienne right end for 25 yards (tackle by Drue Tranquill),0.53,4.51
4,0:39,1,10,LAC 16,30,28,Travis Etienne up the middle for -2 yards (tackle by Morgan Fox),4.51,3.64
4,0:03,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:03,2,12,LAC 18,30,31,"Riley Patterson 36 yard field goal good. Penalty on Asante Samuel: Defensive Offside, 5 yards (declined)",3.64,3
