Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
4,8:15,2,1,KAN 49,23,20,Isiah Pacheco left end for 9 yards (tackle by Bryce Callahan),2.27,2.79
4,7:37,1,10,LAC 42,23,20,Isiah Pacheco up the middle for 2 yards (tackle by Troy Reeder),2.79,2.51
4,6:57,2,8,LAC 40,23,20,"Patrick Mahomes pass complete short right to Jerick McKinnon for -3 yards. Jerick McKinnon fumbles (forced by Troy Reeder), recovered by Alohi Gilman at LAC-36 and returned for 4 yards",2.51,-1.33
4,6:47,1,10,LAC 36,23,20,Isaiah Spiller up the middle for 2 yards (tackle by Frank Clark),1.33,1.06
4,6:14,2,8,LAC 38,23,20,Justin Herbert scrambles up the middle for 7 yards (tackle by Nick Bolton),1.06,1.29
4,5:53,3,1,LAC 45,23,20,Justin Herbert up the middle for 1 yard (tackle by Willie Gay),1.29,1.99
4,5:11,1,10,LAC 46,23,20,Justin Herbert sacked by Chris Jones for -2 yards,1.99,1.18
4,4:38,2,12,LAC 44,23,20,Justin Herbert sacked by Willie Gay for -6 yards,1.18,-0.3
4,3:54,3,18,LAC 38,23,20,Justin Herbert pass complete deep right to Keenan Allen for 46 yards (tackle by Joshua Williams),-0.3,4.51
4,3:06,1,10,KAN 16,23,20,Austin Ekeler left tackle for 3 yards (tackle by Nick Bolton and Trent McDuffie),4.51,4.39
4,2:26,2,7,KAN 13,23,20,Austin Ekeler for 9 yards (tackle by Bryan Cook),4.39,6.28
4,2:00,1,4,KAN 4,23,20,Justin Herbert pass complete short middle to Justin Herbert for -2 yards (tackle by Chris Jones),6.28,4.95
4,1:50,,,,,,Timeout #1 by Kansas City Chiefs,,
4,1:50,2,6,KAN 6,23,26,"Justin Herbert pass complete short left to Josh Palmer for 6 yards, touchdown",4.95,7
4,1:46,,,KAN 15,23,27,Cameron Dicker kicks extra point good,0,0
4,1:46,,,LAC 35,23,27,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
4,1:46,1,10,KAN 25,23,27,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 18 yards (tackle by Bryce Callahan),0.61,1.8
4,1:27,1,10,KAN 43,23,27,Patrick Mahomes scrambles left end for 6 yards (tackle by Derwin James),1.8,2.06
4,1:18,2,4,KAN 49,23,27,Patrick Mahomes pass incomplete short right,2.06,1.35
4,1:05,3,4,KAN 49,23,27,"Patrick Mahomes pass incomplete deep right intended for Justin Watson. Penalty on Derwin James: Defensive Holding, 5 yards (accepted) (no play)",1.35,2.52
4,1:05,1,10,LAC 46,23,27,Patrick Mahomes pass complete short right to Skyy Moore for 13 yards (tackle by Asante Samuel),2.52,3.38
4,0:44,1,10,LAC 33,23,27,Patrick Mahomes scrambles up the middle for 16 yards (tackle by JT Woods),3.38,4.44
4,0:37,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:37,1,10,LAC 17,29,27,"Patrick Mahomes pass complete short left to Travis Kelce for 17 yards, touchdown",4.44,7
4,0:31,,,LAC 15,30,27,Harrison Butker kicks extra point good,0,0
4,0:31,,,KAN 35,30,27,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
4,0:31,1,10,LAC 25,30,27,Justin Herbert sacked by Chris Jones for -5 yards,0.61,-0.61
4,0:26,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:26,2,15,LAC 20,30,27,Justin Herbert pass (defended by Deon Bush) intended for Keenan Allen is intercepted by Nick Bolton at LAC-42 and returned for no gain,-0.61,-2.79
4,0:16,1,10,LAC 42,30,27,Patrick Mahomes kneels for -1 yards,2.79,2.11
