Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
4,0:51,3,1,LAC 1,13,14,"Ryan Tannehill up the middle for 1 yard, touchdown",5.17,7
4,0:48,,,LAC 15,14,14,Randy Bullock kicks extra point good,0,0
4,0:48,,,TEN 35,14,14,"Randy Bullock kicks off 59 yards, returned by DeAndre Carter for 17 yards (tackle by Andre Smith)",0,0.48
4,0:44,1,10,LAC 23,14,14,Justin Herbert pass complete deep left to Mike Williams for 16 yards,0.48,1.53
4,0:39,1,10,LAC 39,14,14,Justin Herbert pass complete short right to Gerald Everett for 6 yards (tackle by Monty Rice),1.53,1.8
4,0:32,2,4,LAC 45,14,14,Justin Herbert pass complete deep right to Mike Williams for 35 yards (tackle by Greg Mabin),1.8,4.24
4,0:15,1,10,TEN 20,14,14,Justin Herbert spiked the ball,4.24,3.69
4,0:14,2,10,TEN 20,14,14,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",3.69,3.02
4,0:14,2,15,TEN 25,14,14,Justin Herbert pass incomplete deep right,3.02,2.34
4,0:08,3,15,TEN 25,14,17,Cameron Dicker 43 yard field goal good,2.34,3
4,0:04,,,LAC 35,14,17,"Cameron Dicker kicks off 43 yards, returned by Kevin Rader for -3 yards, lateral to Julius Chestnut for no gain (tackle by Troy Reeder and Deane Leonard)",0,1.27
