Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
2,4:21,1,10,LAC 25,7,3,"Penalty on Zion Johnson: False Start, 5 yards (accepted) (no play)",0.61,0.28
2,4:21,1,15,LAC 20,7,3,Justin Herbert pass complete short right to Josh Palmer for 8 yards,0.28,0.47
2,4:07,2,7,LAC 28,7,3,Justin Herbert pass complete short middle to Austin Ekeler for 2 yards (tackle by Zaire Franklin),0.47,0.04
2,3:33,3,5,LAC 30,7,3,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Rodney Thomas),0.04,1.8
2,2:59,1,10,LAC 43,7,3,Austin Ekeler right tackle for 5 yards (tackle by E.J. Speed and Grover Stewart),1.8,1.93
2,2:17,2,5,LAC 48,7,3,Justin Herbert pass complete short middle to Austin Ekeler for 4 yards (tackle by DeForest Buckner and Rodney McLeod),1.93,1.75
2,2:00,3,1,IND 48,7,3,Justin Herbert pass complete deep left to Keenan Allen for 25 yards,1.75,4.04
2,1:53,1,10,IND 23,7,3,Joshua Kelley up the middle for 8 yards (tackle by Bobby Okereke),4.04,4.75
2,1:17,2,2,IND 15,7,3,Joshua Kelley right end for no gain (tackle by Julian Blackmon and Zaire Franklin),4.75,4.05
2,1:08,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:08,3,2,IND 15,7,3,Austin Ekeler left guard for 6 yards (tackle by Zaire Franklin and Julian Blackmon),4.05,5.14
2,1:00,,,,,,Timeout #2 by Indianapolis Colts,,
2,1:00,1,9,IND 9,7,3,Austin Ekeler left tackle for -1 yards (tackle by Yannick Ngakoue and Dallis Flowers),5.14,4.19
2,0:55,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:55,2,10,IND 10,7,3,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Rodney Thomas),4.19,3.13
2,0:47,3,10,IND 10,7,3,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by DeForest Buckner and Rodney McLeod),3.13,2.99
2,0:03,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:03,4,6,IND 6,10,3,Cameron Dicker 24 yard field goal good,2.99,3
3,15:00,,,IND 35,10,3,"Chase McLaughlin kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,LAC 25,10,3,Austin Ekeler right tackle for 1 yard (tackle by Rodney Thomas and Julian Blackmon),0.61,0.2
3,14:21,2,9,LAC 26,10,3,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Rodney McLeod),0.2,1.53
3,13:43,1,10,LAC 39,10,3,"Justin Herbert pass complete to Donald Parham for no gain. Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87
3,13:10,1,20,LAC 29,10,3,Justin Herbert pass incomplete deep right intended for Josh Palmer,0.87,-0.36
3,13:04,2,20,LAC 29,10,3,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Julian Blackmon),-0.36,-0.23
3,12:26,3,14,LAC 35,10,3,Justin Herbert pass complete short right to Tre' McKitty for 10 yards (tackle by Bobby Okereke and Zaire Franklin),-0.23,-0.39
3,11:47,4,4,LAC 45,10,3,"JK Scott punts 33 yards, fair catch by Dallis Flowers at IND-22",-0.39,-0.41
3,11:38,1,10,IND 22,10,3,Nick Foles sacked by Morgan Fox for -5 yards,0.41,-0.94
3,11:03,2,15,IND 17,10,3,Zack Moss left tackle for 8 yards (tackle by Michael Davis and Bryce Callahan),-0.94,-0.43
3,10:19,3,7,IND 25,10,3,Nick Foles pass short right intended for Parris Campbell is intercepted by Asante Samuel at IND-37 and returned for 11 yards (tackle by Michael Pittman),-0.43,-3.84
3,10:03,1,10,IND 26,10,3,Justin Herbert sacked by Zaire Franklin for -2 yards,3.84,3.03
3,9:24,2,12,IND 28,10,3,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Bobby Okereke),3.03,2.61
3,8:45,3,10,IND 26,10,3,Justin Herbert pass complete short right to Joshua Kelley for 9 yards (tackle by Stephon Gilmore),2.61,2.46
3,8:14,4,1,IND 17,10,3,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Brandon Facyson),2.46,4.91
3,7:37,1,10,IND 10,10,3,Austin Ekeler left guard for 5 yards (tackle by Rodney Thomas),4.91,5.15
3,6:58,2,5,IND 5,10,3,Austin Ekeler right tackle for 2 yards (tackle by Zaire Franklin),5.15,4.72
3,6:17,3,3,IND 3,10,3,Justin Herbert pass incomplete short middle,4.72,3.04
3,6:05,4,3,IND 3,13,3,Cameron Dicker 21 yard field goal good,3.04,3
3,6:01,,,LAC 35,13,3,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
3,6:01,1,10,IND 25,13,3,Zack Moss left tackle for 2 yards (tackle by Kenneth Murray and Drue Tranquill),0.61,0.33
3,5:25,2,8,IND 27,13,3,Zack Moss up the middle for 14 yards (tackle by Alohi Gilman and Michael Davis),0.33,1.66
3,4:43,1,10,IND 41,13,3,Zack Moss right tackle for 2 yards (tackle by Morgan Fox and Sebastian Joseph-Day),1.66,1.39
3,3:49,2,8,IND 43,13,3,Nick Foles pass incomplete short left intended for Jordan Wilkins,1.39,0.7
3,3:53,3,8,IND 43,13,3,Nick Foles sacked by Khalil Mack for -10 yards,0.7,-1.18
3,3:00,4,18,IND 33,13,3,Matt Haack punts 53 yards,-1.18,-0.04
3,2:52,1,10,LAC 18,13,3,Justin Herbert scrambles right end for 2 yards (tackle by Dayo Odeyingbo),0.04,-0.13
3,2:19,2,8,LAC 20,13,3,Austin Ekeler up the middle for 5 yards (tackle by Grover Stewart and Rodney McLeod),-0.13,-0.27
3,1:39,3,3,LAC 25,13,3,"Justin Herbert sacked by and Dayo Odeyingbo for -4 yards and DeForest Buckner for -4 yards. Justin Herbert fumbles (forced by DeForest Buckner), recovered by Kwity Paye at LAC-21 (tackle by DeForest Buckner) (tackle by DeForest Buckner)",-0.27,-4.17
