Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
4,10:13,1,10,ATL 44,14,17,Isaiah Spiller right tackle for 3 yards (tackle by Mykal Walker),2.65,2.52
4,9:40,2,7,ATL 41,14,17,Isaiah Spiller left guard for 4 yards (tackle by Lorenzo Carter),2.52,2.35
4,9:04,3,3,ATL 37,14,17,"Justin Herbert pass complete short left to Austin Ekeler for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Justin Herbert pass complete to Austin Ekeler for -1 yards (tackle by Isaiah Oliver)",2.35,0.72
4,8:49,4,4,ATL 38,14,17,Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Isaiah Oliver),0.72,3.45
4,8:10,1,10,ATL 32,14,17,Isaiah Spiller left tackle for 2 yards (tackle by Ta'Quon Graham),3.45,3.17
4,7:37,2,8,ATL 30,14,17,Justin Herbert pass complete deep left to Josh Palmer for 21 yards (tackle by Richie Grant),3.17,5.14
4,6:56,1,9,ATL 9,14,17,Austin Ekeler left tackle for 3 yards (tackle by Mykal Walker and Lorenzo Carter),5.14,4.95
4,6:20,2,6,ATL 6,14,17,Justin Herbert pass complete short left to Austin Ekeler for -7 yards (tackle by Rashaan Evans),4.95,3.06
4,5:39,3,13,ATL 13,14,17,Justin Herbert pass incomplete short left intended for Gerald Everett,3.06,2.57
4,5:31,4,13,ATL 13,17,17,Cameron Dicker 31 yard field goal good,2.57,3
4,5:27,,,LAC 35,17,17,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
4,5:27,1,10,ATL 25,17,17,Tyler Allgeier left guard for 2 yards (tackle by Derwin James and Christian Covington),0.61,0.33
4,4:46,2,8,ATL 27,17,17,Marcus Mariota pass incomplete deep left intended for Kyle Pitts,0.33,-0.36
4,4:38,3,8,ATL 27,17,17,Marcus Mariota pass incomplete deep left intended for Drake London,-0.36,-1.57
4,4:33,4,8,ATL 27,17,17,"Bradley Pinion punts 57 yards, returned by DeAndre Carter for 16 yards (tackle by Liam McCullough and Nick Kwiatkoski)",-1.57,-1.07
4,4:19,1,10,LAC 32,17,17,Austin Ekeler left tackle for 5 yards (tackle by Arnold Ebiketie and Rashaan Evans),1.07,1.2
4,3:43,2,5,LAC 37,17,17,Austin Ekeler left tackle for no gain (tackle by Rashaan Evans and Jalen Dalton),1.2,0.5
4,2:59,3,5,LAC 37,17,17,Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Rashaan Evans),0.5,1.8
4,2:14,1,10,LAC 43,17,17,"Justin Herbert pass complete deep left to Josh Palmer for 18 yards (tackle by Richie Grant). Penalty on Matt Feiler: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.8,1.47
4,2:26,1,15,LAC 38,17,17,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Isaiah Oliver and Cornell Armstrong),1.47,1.93
4,2:00,2,5,LAC 48,17,17,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by Cornell Armstrong),1.93,2.65
4,1:40,1,10,ATL 44,17,17,Justin Herbert pass incomplete short left intended for Austin Ekeler,2.65,2.11
4,1:35,2,10,ATL 44,17,17,Justin Herbert pass complete short left to Gerald Everett for 16 yards (tackle by Arnold Ebiketie),2.11,3.71
4,0:59,1,10,ATL 28,17,17,Austin Ekeler right tackle for 3 yards (tackle by Richie Grant and Mykal Walker),3.71,3.57
4,0:52,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:52,2,7,ATL 25,17,17,Justin Herbert scrambles right end for 3 yards (tackle by Mykal Walker),3.57,3.27
4,0:46,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:46,3,4,ATL 22,17,17,"Austin Ekeler left tackle for 2 yards. Austin Ekeler fumbles (forced by Rashaan Evans), recovered by Ta'Quon Graham at ATL-17 and returned for 19 yards. Ta'Quon Graham fumbles, recovered by Matt Feiler at ATL-43 (tackle by Rashaan Evans) (tackle by Rashaan Evans) (tackle by Grady Jarrett) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.27,2.72
4,0:34,1,10,ATL 43,17,17,Justin Herbert pass complete deep left to Josh Palmer for 22 yards (tackle by Jaylinn Hawkins),2.72,4.17
4,0:22,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:22,1,10,ATL 21,17,17,Austin Ekeler left guard for 2 yards (tackle by Jaylinn Hawkins),4.17,3.9
4,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:03,2,8,ATL 19,20,17,Cameron Dicker 37 yard field goal good,3.9,3
